volume,class_1,class_2
122,0,9
27,0,9
131,0,6
25,0,3
115,0,1
112,0,3
20,0,9
4,0,7
145,0,5
36,0,9
142,0,4
132,0,8
37,0,1
7,0,7
134,0,4
33,0,5
120,0,2
147,0,6
10,1,5
6,1,0
135,1,5
21,1,3
26,1,8
9,1,6
143,1,5
139,1,2
37,1,2
122,1,1
15,1,7
19,1,3
150,1,3
35,1,5
3,1,3
136,1,4
29,1,6
129,1,2
142,1,7
145,1,4
20,2,7
16,2,6
26,2,8
142,2,0
142,2,2
3,2,9
123,2,1
129,2,3
131,2,4
3,2,7
7,2,9
13,2,6
2,2,4
25,2,7
146,2,4
141,2,5
120,2,4
139,2,0
120,2,9
5,2,8
34,2,5
138,2,2
7,2,3
121,3,8
143,3,7
125,3,3
12,3,9
144,3,5
22,3,2
3,3,8
134,3,8
34,3,9
6,3,6
28,3,0
149,3,1
137,3,8
137,3,2
14,3,6
30,3,8
144,3,9
26,3,0
140,4,6
31,4,3
140,4,4
120,4,4
149,4,2
7,4,8
123,4,7
130,4,4
4,4,7
14,4,2
112,4,3
132,4,1
37,4,4
25,4,1
19,4,3
132,4,6
18,4,9
128,4,2
132,4,8
138,4,9
138,4,3
134,4,4
116,4,8
35,4,2
23,5,9
35,5,8
12,5,1
130,5,1
131,5,5
150,5,6
11,5,3
10,5,1
120,5,3
122,5,8
128,5,0
33,5,0
6,5,9
142,5,4
9,5,3
7,5,0
23,5,7
135,6,5
34,6,9
133,6,7
133,6,6
117,6,8
7,6,1
145,6,1
113,6,0
1,6,9
141,6,0
10,6,7
31,6,3
127,6,0
122,6,2
26,6,8
4,6,2
16,6,2
124,6,3
123,6,0
118,6,3
11,6,6
26,6,7
119,6,8
122,7,0
24,7,9
117,7,9
137,7,5
24,7,1
118,7,2
129,7,6
147,7,1
3,7,6
126,7,5
142,7,6
145,7,4
113,7,8
148,7,4
24,7,6
145,8,8
21,8,7
13,8,7
147,8,0
139,8,0
120,8,4
17,8,0
30,8,0
150,8,9
7,8,7
16,8,1
3,8,3
23,8,4
2,8,7
1,8,5
125,8,6
36,8,1
35,8,6
22,8,1
148,8,8
15,8,5
137,8,2
129,8,0
28,9,1
21,9,0
120,9,0
31,9,9
26,9,1
131,9,5
146,9,5
5,9,7
36,9,2
12,9,4
12,9,6
133,9,7
20,9,5
132,9,5
142,9,2
141,9,2
144,9,5
11,9,1
112,9,4
